image_path,depth_path
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0000.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0000.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0001.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0001.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0002.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0002.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0003.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0003.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0004.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0004.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0005.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0005.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0006.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0006.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0007.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0007.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0008.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0008.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0009.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0009.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0010.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0010.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0011.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0011.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0012.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0012.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0013.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0013.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0014.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0014.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0015.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0015.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0016.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0016.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0017.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0017.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0018.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0018.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0019.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0019.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0020.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0020.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0021.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0021.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0022.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0022.exr
/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Frame/Frame_0023.png,/home/clena/PycharmProjects/SLAM_Colon/Data/Colon_1_backward/Depth/Depth_0023.exr
